,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations
ZTS,732000000.0,-2060000000.0,0.0,2000000000.0,-161000000.0,133000000.0,2312000000.0,2084000000.0,232000000.0,-495000000.0,-495000000.0,-204000000.0,-220000000.0,-220000000.0,-2060000000.0,-2060000000.0,2000000000.0,0.0,,2000000000.0,0.0,2000000000.0,-166000000.0,-166000000.0,-2000000.0,11000000.0,,11000000.0,,,893000000.0,893000000.0,170000000.0,88000000.0,10000000.0,76000000.0,76000000.0,76000000.0,13000000.0,-52000000.0,-52000000.0,1000000.0,22000000.0,121000000.0,121000000.0,603000000.0
CVS,2606000000.0,0.0,-1267000000.0,0.0,-784000000.0,,8712000000.0,9352000000.0,-640000000.0,-2032000000.0,-2032000000.0,-6000000.0,-845000000.0,-845000000.0,0.0,0.0,-1267000000.0,-1247000000.0,-1247000000.0,-20000000.0,-20000000.0,0.0,-1998000000.0,-1998000000.0,17000000.0,-1224000000.0,2743000000.0,-3967000000.0,-784000000.0,-784000000.0,3390000000.0,3390000000.0,-1021000000.0,-855000000.0,-2005000000.0,-1915000000.0,-1915000000.0,-1197000000.0,-285000000.0,4039000000.0,4039000000.0,,135000000.0,1147000000.0,1147000000.0,2923000000.0
CI,5827000000.0,-1001000000.0,-2554000000.0,-3000000.0,-322000000.0,,7736000000.0,6071000000.0,1663000000.0,-4066000000.0,-4066000000.0,-125000000.0,-396000000.0,-396000000.0,-976000000.0,-1001000000.0,-2569000000.0,-12000000.0,,-2557000000.0,-2554000000.0,-3000000.0,-420000000.0,-420000000.0,-627000000.0,-134000000.0,733000000.0,-867000000.0,-322000000.0,-322000000.0,6149000000.0,6149000000.0,3487000000.0,,-1706000000.0,3685000000.0,3685000000.0,3685000000.0,,1921000000.0,1921000000.0,,,,722000000.0,1274000000.0
HUM,-1854000000.0,-42000000.0,-279000000.0,0.0,-202000000.0,80000000.0,4200000000.0,5388000000.0,-1188000000.0,-168000000.0,-168000000.0,178000000.0,-109000000.0,-109000000.0,-42000000.0,-42000000.0,-274000000.0,-97000000.0,,-177000000.0,-177000000.0,0.0,632000000.0,632000000.0,-79000000.0,966000000.0,2208000000.0,-1242000000.0,-179000000.0,-202000000.0,-1652000000.0,-1652000000.0,-1410000000.0,5000000.0,-799000000.0,-121000000.0,-121000000.0,-121000000.0,,-586000000.0,,,48000000.0,,194000000.0,-776000000.0
ELV,-209000000.0,-471000000.0,-542000000.0,2133000000.0,-293000000.0,,9491000000.0,8713000000.0,784000000.0,236000000.0,236000000.0,11000000.0,-377000000.0,-377000000.0,-471000000.0,-471000000.0,1591000000.0,1591000000.0,-545000000.0,0.0,3000000.0,-3000000.0,464000000.0,464000000.0,243000000.0,481000000.0,3242000000.0,-2761000000.0,-293000000.0,-293000000.0,84000000.0,84000000.0,-524000000.0,,530000000.0,-2259000000.0,-2259000000.0,-2259000000.0,,756000000.0,,,30000000.0,,406000000.0,546000000.0
XOM,5229000000.0,-5379000000.0,-1684000000.0,3450000000.0,-7450000000.0,3715000000.0,10681000000.0,13869000000.0,-3188000000.0,-8734000000.0,-8734000000.0,-755000000.0,-4366000000.0,-4366000000.0,-5379000000.0,-5379000000.0,1766000000.0,1695000000.0,-589000000.0,71000000.0,-1095000000.0,1166000000.0,-7133000000.0,-7133000000.0,3477000000.0,-3160000000.0,,-3160000000.0,-7450000000.0,-7450000000.0,12679000000.0,12679000000.0,-2728000000.0,,,,,,,,,-1194000000.0,,7715000000.0,,6609000000.0
CVX,5525000000.0,-2998000000.0,-3197000000.0,2273000000.0,-5264000000.0,1780000000.0,7285000000.0,8783000000.0,-1515000000.0,-7372000000.0,-7372000000.0,-103000000.0,-3404000000.0,-3404000000.0,-2998000000.0,-2998000000.0,-924000000.0,-242000000.0,-2279000000.0,-682000000.0,-918000000.0,236000000.0,-4932000000.0,-4932000000.0,277000000.0,-1000000.0,3000000.0,-4000000.0,,,10789000000.0,10789000000.0,1502000000.0,,,782000000.0,782000000.0,724000000.0,818000000.0,-236000000.0,-189000000.0,-420000000.0,,5964000000.0,5884000000.0,2845000000.0
COP,1295000000.0,-1057000000.0,-62000000.0,,-3023000000.0,926000000.0,6916000000.0,5599000000.0,1310000000.0,-2158000000.0,-2158000000.0,-1000000.0,-1038000000.0,-1038000000.0,-1057000000.0,-1057000000.0,-62000000.0,,,-62000000.0,-62000000.0,,-850000000.0,-850000000.0,1672000000.0,501000000.0,706000000.0,-205000000.0,,,4318000000.0,4318000000.0,0.0,,,190000000.0,190000000.0,-1000000.0,-165000000.0,-118000000.0,,79000000.0,,3131000000.0,2999000000.0,1442000000.0
CAT,2249000000.0,-317000000.0,-1876000000.0,2651000000.0,-1342000000.0,,9986000000.0,7544000000.0,2462000000.0,751000000.0,751000000.0,-1000000.0,-706000000.0,-706000000.0,-317000000.0,-317000000.0,1775000000.0,1000000000.0,,775000000.0,-1876000000.0,2651000000.0,-1880000000.0,-1880000000.0,-601000000.0,-111000000.0,549000000.0,-660000000.0,164000000.0,,3591000000.0,3591000000.0,458000000.0,61000000.0,-38000000.0,963000000.0,93000000.0,93000000.0,538000000.0,-1350000000.0,,233000000.0,,598000000.0,598000000.0,2401000000.0
GE,1850000000.0,-1997000000.0,-507000000.0,0.0,-431000000.0,,13657000000.0,13841000000.0,-196000000.0,-2826000000.0,-2826000000.0,51000000.0,-381000000.0,,-1997000000.0,-1997000000.0,-499000000.0,8000000.0,,-507000000.0,-507000000.0,0.0,305000000.0,550000000.0,1105000000.0,-170000000.0,,,-384000000.0,-431000000.0,2281000000.0,2096000000.0,-115000000.0,,,495000000.0,495000000.0,495000000.0,-194000000.0,-1562000000.0,-1167000000.0,-45000000.0,,307000000.0,307000000.0,2462000000.0
